"testnewid_lag","ccode","id","fdi","pcj","econ_devel","econ_size","econ_growth","kaopen","xr","lf","lifeexp"
3160000,581,36,0.415783613920212,0,937.216186523438,485464357.5,-1.24173057079315,-1.13058197498322,1.07731926441193,76.6999969482422,61.6015014648438
2150000,600,98,45.5813369750977,1,1134.83081054688,21992588489,-0.257137835025787,-1.13058197498322,0.908462226390839,51.9000015258789,52.8553314208984
2352350,600,98,-162.471099853516,0,2007.02087402344,48504210596,2.00449991226196,-1.13058197498322,0.987265288829803,52.5,64.6408309936523
2490000,616,155,-219.382919311523,0,1942.32360839844,12732289714,2.75863909721375,-1.13058197498322,1.21714091300964,49.5999984741211,62.4899978637695
2132130,625,136,-16.4400005340576,0,481.400146484375,9873071593,2.94110131263733,-1.81162095069885,1.0000171661377,58.0999984741211,49.2826690673828
2442440,630,76,226.970001220703,0,3908.51708984375,2.08042e+11,3.52542781829834,-1.13058197498322,1.02773106098175,51.9000015258789,63.4915008544922
2444880,630,76,51,0,5391.75244140625,3.12795e+11,-1.9399710893631,-1.81162095069885,2.62314438819885,51.2000007629395,66.5436706542969
2447320,630,76,37,0,6313.03369140625,3.90456e+11,0.999244928359985,-1.81162095069885,1.0000114440918,51.2000007629395,68.4793319702148
2449760,630,76,206.497009277344,0,7631.80224609375,5.03805e+11,5.82915782928467,0.136977404356003,3.92665147781372,52,70.1166687011719
2980000,651,50,10512.7998046875,0,3343.36059570312,2.30223e+11,4.12317132949829,1.58051204681396,1.00202894210815,49.0999984741211,68.1261672973633
1631630,660,90,962.47314453125,0,5298.2421875,16178119350,34.6177062988281,2.53183603286743,1.55771839618683,43.2999992370605,70.7376708984375
2460000,670,135,2538.9794921875,0,16530.009765625,1.5876e+11,0.400923818349838,2.53183603286743,0.984185099601746,46.4000015258789,59.9278335571289
2210000,698,121,79.9096832275391,0,4421.42529296875,5250181809,14.7665882110596,2.53183603286743,0,52,54.4389991760254
3023020,702,152,11.9403991699219,0,743.541198730469,4417100348,0.291962921619415,-1.13058197498322,2.68828320503235,53,66.3105010986328
3026040,702,152,353.26708984375,0,811.165344238281,4947358379,2.37918877601624,-1.13058197498322,1.84888756275177,54.7999992370605,66.7275009155273
3240000,704,163,179.199996948242,0,1521.66149902344,37991321880,2.87699770927429,-1.81162095069885,3.82439780235291,59.5999984741211,70.0108337402344
1291290,750,74,34.1700019836426,0,415.42919921875,2.85538e+11,1.01170206069946,-1.13058197498322,1.02635967731476,60.5999984741211,48.5036659240723
2290000,770,122,97.1044464111328,0,568.969482421875,47071032944,4.78435611724854,-1.13058197498322,0,51.5999984741211,56.224666595459
